鄉鎮市區,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,總價元,單價每平方公尺
大同區,42.92,1,1,5580000,130009
萬華區,416.36,0,0,15980000,38380
萬華區,77.45,2,2,16680000,215365
內湖區,127.79,3,2,15750000,123249
內湖區,127.38,2,2,15500000,121683
中山區,127.15,3,2,26000000,204483
中山區,105.22,3,2,19080000,181334
士林區,74,2,2,10150000,137162
大安區,146.85,3,2,27980000,190548
大安區,43.74,1,1,16350000,373800
大安區,185.32,5,2,46000000,248219
大安區,161.39,0,0,34820000,215751
大安區,129.72,3,2,32000000,246685
松山區,123.94,3,2,17800000,143618
中正區,21.89,2,1,2700000,123344
中山區,90.94,2,2,22500000,247416
萬華區,116.74,3,2,17650000,151191
內湖區,125.14,3,2,16400000,131053
大安區,54.89,2,1,5916752,107793
信義區,103.92,3,2,20500000,197267
松山區,105.1,2,2,15000000,142721
中山區,96.06,3,2,13860000,144285
內湖區,50.93,1,1,9700000,190457
大安區,37.61,1,1,11800000,313746
大安區,70.43,2,2,14400000,204458
大安區,148.33,3,2,39252500,264630
大安區,39.75,0,0,12880000,324025
